Type of crossover,Generation,Mean,Best 
Order Crossover,0,7.56,10
Cycle Crossover,0,7.56,10
Elitism Order Crossover,0,7.56,10
Elitism Cycle Crossover,0,7.56,2
Order Crossover,1,5.34,4
Cycle Crossover,1,4.44,8
Elitism Order Crossover,1,6.08,8
Elitism Cycle Crossover,1,5.14,2
Order Crossover,2,4.72,8
Cycle Crossover,2,3.92,8
Elitism Order Crossover,2,5.6,8
Elitism Cycle Crossover,2,3.56,6
Order Crossover,3,4.54,6
Cycle Crossover,3,2.46,2
Elitism Order Crossover,3,3.34,0
Elitism Cycle Crossover,3,3.32,0
Order Crossover,4,3.82,4
Cycle Crossover,4,1.8,0
Elitism Order Crossover,4,2.76,6
Elitism Cycle Crossover,4,2.12,6
Order Crossover,5,4.24,4
Cycle Crossover,5,1.94,6
Elitism Order Crossover,5,2.46,0
Elitism Cycle Crossover,5,2.16,8
Order Crossover,6,3.92,0
Cycle Crossover,6,2.26,0
Elitism Order Crossover,6,2.56,6
Elitism Cycle Crossover,6,1.88,0
Order Crossover,7,4.18,0
Cycle Crossover,7,1.98,0
Elitism Order Crossover,7,2.82,0
Elitism Cycle Crossover,7,1.98,6
Order Crossover,8,4.08,4
Cycle Crossover,8,2.3,6
Elitism Order Crossover,8,2.72,6
Elitism Cycle Crossover,8,2.28,6
Order Crossover,9,4.1,6
Cycle Crossover,9,1.7,0
Elitism Order Crossover,9,2.56,6
Elitism Cycle Crossover,9,1.86,0
Order Crossover,10,4.34,4
Cycle Crossover,10,1.7,2
Elitism Order Crossover,10,2.46,6
Elitism Cycle Crossover,10,2.14,4
Order Crossover,11,3.86,0
Cycle Crossover,11,1.92,0
Elitism Order Crossover,11,2.84,0
Elitism Cycle Crossover,11,2.48,6
Order Crossover,12,3.84,6
Cycle Crossover,12,1.98,0
Elitism Order Crossover,12,2.82,6
Elitism Cycle Crossover,12,1.68,4
Order Crossover,13,3.72,4
Cycle Crossover,13,1.9,0
Elitism Order Crossover,13,2.74,6
Elitism Cycle Crossover,13,2.12,0
Order Crossover,14,3.94,6
Cycle Crossover,14,1.84,0
Elitism Order Crossover,14,2.24,4
Elitism Cycle Crossover,14,2.16,4
Order Crossover,15,4.14,4
Cycle Crossover,15,1.94,4
Elitism Order Crossover,15,2.5,6
Elitism Cycle Crossover,15,2.0,0
Order Crossover,16,4.0,4
Cycle Crossover,16,2.46,0
Elitism Order Crossover,16,2.36,0
Elitism Cycle Crossover,16,1.76,2
Order Crossover,17,3.52,0
Cycle Crossover,17,2.24,6
Elitism Order Crossover,17,2.64,2
Elitism Cycle Crossover,17,2.3,6
Order Crossover,18,3.6,4
Cycle Crossover,18,1.96,6
Elitism Order Crossover,18,2.6,0
Elitism Cycle Crossover,18,2.02,6
Order Crossover,19,3.6,0
Cycle Crossover,19,1.98,6
Elitism Order Crossover,19,2.06,0
Elitism Cycle Crossover,19,2.14,4
Order Crossover,20,3.98,4
Cycle Crossover,20,1.86,0
Elitism Order Crossover,20,2.6,6
Elitism Cycle Crossover,20,2.62,0
Order Crossover,21,3.6,0
Cycle Crossover,21,2.08,0
Elitism Order Crossover,21,2.32,0
Elitism Cycle Crossover,21,2.7,0
Order Crossover,22,3.64,6
Cycle Crossover,22,2.04,0
Elitism Order Crossover,22,2.7,4
Elitism Cycle Crossover,22,2.24,6
Order Crossover,23,4.34,0
Cycle Crossover,23,1.88,2
Elitism Order Crossover,23,2.96,6
Elitism Cycle Crossover,23,2.4,6
Order Crossover,24,4.14,6
Cycle Crossover,24,2.04,0
Elitism Order Crossover,24,2.7,0
Elitism Cycle Crossover,24,2.36,8
Order Crossover,25,4.5,6
Cycle Crossover,25,1.98,6
Elitism Order Crossover,25,2.88,6
Elitism Cycle Crossover,25,1.72,0
Order Crossover,26,3.7,6
Cycle Crossover,26,1.7,0
Elitism Order Crossover,26,2.8,0
Elitism Cycle Crossover,26,2.32,6
Order Crossover,27,3.88,6
Cycle Crossover,27,1.88,0
Elitism Order Crossover,27,2.36,4
Elitism Cycle Crossover,27,2.08,4
Order Crossover,28,3.82,6
Cycle Crossover,28,1.72,0
Elitism Order Crossover,28,2.8,0
Elitism Cycle Crossover,28,1.9,6
Order Crossover,29,4.16,0
Cycle Crossover,29,2.18,0
Elitism Order Crossover,29,2.9,6
Elitism Cycle Crossover,29,2.24,0
Order Crossover,30,4.06,0
Cycle Crossover,30,1.74,0
Elitism Order Crossover,30,2.7,0
Elitism Cycle Crossover,30,1.9,0
Order Crossover,31,4.4,4
Cycle Crossover,31,2.0,2
Elitism Order Crossover,31,2.54,2
Elitism Cycle Crossover,31,2.16,0
Order Crossover,32,3.86,0
