Type of crossover,name,fitness 
Order Crossover,5;2;4;7;3;1;0;6;,6
Order Crossover,5;2;4;7;3;1;0;6;,6
Order Crossover,5;2;7;4;1;3;0;6;,6
Order Crossover,5;2;4;7;0;6;1;3;,6
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;3;0;1;6;,8
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;0;7;3;1;6;,2
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;7;2;4;0;3;1;6;,6
Order Crossover,5;0;4;7;2;3;1;6;,6
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;3;1;6;0;,4
Order Crossover,4;2;5;7;3;1;6;0;,6
Order Crossover,5;2;4;7;3;1;0;6;,6
Order Crossover,4;2;5;7;3;1;0;6;,8
Order Crossover,5;2;4;7;3;1;0;6;,6
Order Crossover,5;7;4;2;0;1;3;6;,8
Order Crossover,7;2;4;5;6;3;1;0;,10
Order Crossover,5;2;4;7;6;3;1;0;,6
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;7;4;2;0;3;1;6;,6
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;6;0;3;1;7;,0
Order Crossover,2;5;4;7;0;3;1;6;,6
Order Crossover,0;2;4;7;5;3;1;6;,2
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;3;1;6;0;,4
Order Crossover,5;2;4;6;3;1;7;0;,6
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,4;2;5;7;0;3;1;6;,6
Order Crossover,5;2;7;6;0;4;3;1;,8
Order Crossover,5;4;2;0;7;6;3;1;,8
Order Crossover,5;2;4;0;7;3;1;6;,2
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,0;2;4;7;5;3;1;6;,2
Order Crossover,5;4;2;7;0;3;1;6;,4
Order Crossover,5;2;4;6;0;3;1;7;,0
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;6;0;3;1;7;,0
Order Crossover,5;2;4;7;0;3;1;6;,0
Order Crossover,5;2;4;0;7;3;1;6;,2
Order Crossover,5;1;0;7;4;3;2;6;,10
