Type of crossover,Generation,Mean,Best 
Order Crossover,0,9.0,8
Cycle Crossover,0,9.0,8
Elitism Order Crossover,0,9.0,8
Elitism Cycle Crossover,0,9.0,4
Order Crossover,1,6.8,10
Cycle Crossover,1,8.0,10
Elitism Order Crossover,1,4.8,4
Elitism Cycle Crossover,1,5.4,4
Order Crossover,2,5.4,2
Cycle Crossover,2,6.8,12
Elitism Order Crossover,2,5.2,10
Elitism Cycle Crossover,2,4.0,4
Order Crossover,3,3.6,2
Cycle Crossover,3,4.4,4
Elitism Order Crossover,3,4.4,4
Elitism Cycle Crossover,3,4.0,4
Order Crossover,4,2.0,2
Cycle Crossover,4,4.0,4
Elitism Order Crossover,4,5.2,4
Elitism Cycle Crossover,4,4.0,4
Order Crossover,5,2.0,2
Cycle Crossover,5,4.0,4
Elitism Order Crossover,5,4.0,4
Elitism Cycle Crossover,5,4.0,4
Order Crossover,6,2.0,2
Cycle Crossover,6,4.0,4
Elitism Order Crossover,6,3.0,4
Elitism Cycle Crossover,6,4.0,4
Order Crossover,7,2.0,2
Cycle Crossover,7,4.0,4
Elitism Order Crossover,7,2.4,2
Elitism Cycle Crossover,7,4.0,4
Order Crossover,8,2.0,2
Cycle Crossover,8,4.0,4
Elitism Order Crossover,8,2.4,2
Elitism Cycle Crossover,8,4.0,4
Order Crossover,9,2.0,2
Cycle Crossover,9,4.0,4
Elitism Order Crossover,9,2.4,4
Elitism Cycle Crossover,9,4.0,4
Order Crossover,10,2.0,2
Cycle Crossover,10,4.0,4
Elitism Order Crossover,10,3.0,4
Elitism Cycle Crossover,10,4.0,4
Order Crossover,11,2.0,2
Cycle Crossover,11,4.0,4
Elitism Order Crossover,11,3.0,4
Elitism Cycle Crossover,11,4.0,4
Order Crossover,12,2.0,2
Cycle Crossover,12,4.0,4
Elitism Order Crossover,12,2.4,4
Elitism Cycle Crossover,12,4.0,4
Order Crossover,13,2.0,2
Cycle Crossover,13,4.0,4
Elitism Order Crossover,13,2.8,4
Elitism Cycle Crossover,13,4.0,4
Order Crossover,14,2.0,2
Cycle Crossover,14,4.0,4
Elitism Order Crossover,14,2.8,4
Elitism Cycle Crossover,14,4.0,4
Order Crossover,15,2.0,2
Cycle Crossover,15,4.0,4
Elitism Order Crossover,15,2.6,2
Elitism Cycle Crossover,15,4.0,4
Order Crossover,16,2.0,2
Cycle Crossover,16,4.0,4
Elitism Order Crossover,16,2.8,2
Elitism Cycle Crossover,16,4.0,4
Order Crossover,17,2.0,2
Cycle Crossover,17,4.0,4
Elitism Order Crossover,17,2.2,2
Elitism Cycle Crossover,17,4.0,4
Order Crossover,18,2.0,2
Cycle Crossover,18,4.0,4
Elitism Order Crossover,18,2.4,2
Elitism Cycle Crossover,18,4.0,4
Order Crossover,19,2.0,2
Cycle Crossover,19,4.0,4
Elitism Order Crossover,19,2.4,4
Elitism Cycle Crossover,19,4.0,4
Order Crossover,20,2.0,2
Cycle Crossover,20,4.0,4
Elitism Order Crossover,20,2.8,2
Elitism Cycle Crossover,20,4.0,4
Order Crossover,21,2.0,2
Cycle Crossover,21,4.0,4
