Type of crossover,name,fitness 
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;7;0;,6
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;3;4;0;7;,2
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Cycle Crossover,4;5;0;2;6;1;3;7;,4
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Order Crossover,3;5;2;6;1;7;4;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
Elitism Cycle Crossover,3;5;2;1;6;4;7;0;,2
